0,18477,42
1,26510,6335
2,15734,3170
3,29368,11479
4,24474,10963
5,28155,5706
6,16837,7282
7,501,9962
8,11952,2996
9,5446,4828
10,14614,392
11,163,3903
12,12392,293
13,18726,1422
14,19905,3719
15,21736,5448
16,11548,14772
17,19922,1870
18,26309,9668
19,9904,1036
20,23821,12704
21,30343,15323
22,4674,1674
23,7721,15142
24,6878,12254
25,27654,9548
26,32767,663
27,12869,4038
28,9751,8724
29,788,11530
30,3045,12317
31,1852,6191
32,30116,289
33,8952,9041
34,22658,3265
35,23815,11447
36,6739,15891
37,15360,8371
38,31111,15007
39,3558,8394
40,12633,3630
41,19964,8085
42,11850,2757
43,7386,4967
44,26318,13932
45,32449,945
46,11333,8627
47,21548,5538
48,2092,119
49,16551,6930
50,31125,4834
51,29668,4640
52,9940,6705
53,2316,13978
54,22396,15674
55,28755,5022
56,19082,10925
57,5839,6271
58,15583,10778
59,16522,5098
60,13300,7987
61,18646,9162
62,24777,6356
63,15584,7656
64,12062,4032
65,1160,11351
66,21734,942
67,3440,13967
68,30201,15108
69,11347,2008
70,12297,15458
71,10393,11754
72,8919,14946
73,9768,210
74,18598,8222
75,24956,6423
76,13040,11507
77,29178,414
78,32601,901
79,1665,2763
80,6369,1411
81,20547,11625
82,6493,5549
83,4051,11596
84,24360,3603
85,30846,10292
86,11030,9375
87,24031,4597
88,23209,11349
89,24494,3669
90,4744,8282
91,2009,54
92,27948,10419
93,3798,6901
94,477,2128
95,14903,3729
96,22493,8649
97,2431,1808
98,6627,14311
99,9524,6814
100,7626,14310
101,17461,2936
102,5259,4601
103,31566,520
104,30313,6799
105,11018,6225
106,32619,5845
107,32712,14990
108,20495,3196
109,14353,3094
110,1597,14524
111,9513,13315
112,25210,7449
113,6628,13459
114,19806,4581
115,15291,14799
116,20808,3590
117,27167,12010
118,23632,4473
119,12302,2539
120,24189,6039
121,29667,2191
122,6201,7959
123,22898,3816
124,11521,3157
125,2644,203
126,20065,8273
127,22656,4329
128,4896,10363
129,28443,2876
130,20152,13870
131,1426,7845
132,32008,5882
133,18661,10323
134,5709,10022
135,28486,3558
136,24399,11893
137,10722,5076
138,2520,2601
139,26879,5004
140,14698,1862
141,9799,13402
142,16433,15256
143,10595,5003
144,10295,8183
145,31436,11089
146,23767,12618
147,30942,9833
148,2164,4170
149,17199,9722
150,31339,3977
151,28702,2369
152,10565,5426
153,16559,3435
154,9522,7442
155,18070,14146
156,3763,5719
157,12433,140
158,26006,280
159,12539,688
160,17447,6550
161,12959,3867
162,23205,194
163,20426,3298
164,16115,12287
165,16292,8489
166,25744,12456
167,11711,2115
168,20681,15317
169,12273,5787
170,24365,4314
171,20063,15186
172,10818,913
173,20955,1833
174,27766,4314
175,19568,12322
176,27992,7647
177,4154,482
178,20232,7197
179,2171,7130
180,20460,5536
181,10476,11174
182,21669,12045
183,26449,10293
184,20034,1254
185,29520,10155
186,20659,4746
187,8323,13187
188,28032,4475
189,14028,2169
190,9915,2788
191,7401,1959
192,3635,10203
193,4424,10478
194,25834,9315
195,25884,13335
196,20169,8373
197,28080,11834
198,28307,7488
199,8187,7519
200,32280,1774
201,2678,1764
202,13995,1193
203,8490,3103
204,7637,13214
205,4109,4803
206,2635,14528
207,1934,1544
208,29982,11024
209,14191,13062
210,27442,15004
211,27603,1506
212,13041,6726
213,152,8493
214,31296,1223
215,7910,13065
216,8370,3188
217,30984,6414
218,29180,14271
219,30843,236
220,25770,3712
221,4677,2897
222,12560,7286
223,13704,141
224,21634,2696
225,2135,12020
226,21704,10577
227,26312,6659
228,22476,1372
229,22603,4679
230,25494,7852
231,28474,1019
232,23162,5120
233,18097,2801
234,1936,15061
235,4767,9011
236,20325,171
237,30237,9577
238,22768,12044
239,5119,7165
240,17096,7883
241,3497,13566
242,14484,13578
243,25637,2626
244,31938,5630
245,28530,9424
246,14972,6903
247,24606,124
248,13271,3738
249,32535,10196
